Freq. [Hz]	Freq. [MHz]	|Z| CL [dB]	|Z| OL [deg]	|Z| OL [dB]	|Z| CL [deg]	|Z| Shorted [dB]	|Z| Shorted [deg]
1.89E+05	1.89E-01	3.20E+01	8.37E+00	6.70E+01	5.75E+01	1.84E+00	-1.16E+01
1.96E+05	1.96E-01	3.16E+01	7.89E+00	6.87E+01	5.70E+01	1.81E+00	-1.12E+01
2.04E+05	2.04E-01	3.12E+01	7.46E+00	7.05E+01	5.64E+01	1.78E+00	-1.07E+01
2.12E+05	2.12E-01	3.09E+01	7.11E+00	7.23E+01	5.58E+01	1.77E+00	-1.02E+01
2.20E+05	2.20E-01	3.05E+01	6.80E+00	7.41E+01	5.53E+01	1.74E+00	-1.00E+01
2.29E+05	2.29E-01	3.02E+01	6.55E+00	7.59E+01	5.47E+01	1.72E+00	-9.25E+00
2.38E+05	2.38E-01	3.00E+01	6.34E+00	7.77E+01	5.41E+01	1.70E+00	-8.61E+00
2.47E+05	2.47E-01	2.98E+01	6.14E+00	7.96E+01	5.35E+01	1.68E+00	-7.90E+00
2.56E+05	2.56E-01	2.96E+01	5.98E+00	8.15E+01	5.29E+01	1.66E+00	-7.37E+00
2.66E+05	2.66E-01	2.94E+01	5.83E+00	8.33E+01	5.23E+01	1.64E+00	-6.22E+00
2.77E+05	2.77E-01	2.92E+01	5.71E+00	8.52E+01	5.17E+01	1.63E+00	-5.82E+00
2.87E+05	2.87E-01	2.91E+01	5.60E+00	8.71E+01	5.11E+01	1.61E+00	-4.76E+00
2.98E+05	2.98E-01	2.90E+01	5.53E+00	8.90E+01	5.05E+01	1.59E+00	-4.10E+00
3.10E+05	3.10E-01	2.89E+01	5.43E+00	9.09E+01	4.98E+01	1.59E+00	-3.19E+00
3.22E+05	3.22E-01	2.88E+01	5.38E+00	9.28E+01	4.92E+01	1.58E+00	-2.25E+00
3.34E+05	3.34E-01	2.87E+01	5.31E+00	9.48E+01	4.86E+01	1.56E+00	-1.57E+00
3.47E+05	3.47E-01	2.86E+01	5.27E+00	9.67E+01	4.80E+01	1.55E+00	-6.09E-01
3.61E+05	3.61E-01	2.85E+01	5.23E+00	9.86E+01	4.75E+01	1.55E+00	3.27E-01
3.75E+05	3.75E-01	2.84E+01	5.21E+00	1.00E+02	4.69E+01	1.54E+00	1.46E+00
3.89E+05	3.89E-01	2.84E+01	5.18E+00	1.02E+02	4.63E+01	1.53E+00	2.27E+00
4.04E+05	4.04E-01	2.83E+01	5.17E+00	1.04E+02	4.57E+01	1.52E+00	3.33E+00
4.20E+05	4.20E-01	2.83E+01	5.17E+00	1.06E+02	4.51E+01	1.53E+00	4.27E+00
4.36E+05	4.36E-01	2.83E+01	5.17E+00	1.08E+02	4.46E+01	1.51E+00	5.25E+00
4.53E+05	4.53E-01	2.82E+01	5.16E+00	1.10E+02	4.40E+01	1.52E+00	6.42E+00
4.71E+05	4.71E-01	2.82E+01	5.17E+00	1.12E+02	4.35E+01	1.51E+00	7.49E+00
4.89E+05	4.89E-01	2.82E+01	5.19E+00	1.14E+02	4.30E+01	1.51E+00	8.62E+00
5.08E+05	5.08E-01	2.82E+01	5.19E+00	1.16E+02	4.25E+01	1.52E+00	9.69E+00
5.28E+05	5.28E-01	2.81E+01	5.20E+00	1.18E+02	4.19E+01	1.51E+00	1.08E+01
5.48E+05	5.48E-01	2.81E+01	5.15E+00	1.20E+02	4.14E+01	1.51E+00	1.22E+01
5.69E+05	5.69E-01	2.81E+01	5.29E+00	1.22E+02	4.09E+01	1.52E+00	1.33E+01
5.91E+05	5.91E-01	2.81E+01	5.32E+00	1.24E+02	4.04E+01	1.52E+00	1.45E+01
6.14E+05	6.14E-01	2.81E+01	5.34E+00	1.26E+02	3.99E+01	1.52E+00	1.54E+01
6.38E+05	6.38E-01	2.81E+01	5.41E+00	1.28E+02	3.94E+01	1.54E+00	1.72E+01
6.63E+05	6.63E-01	2.81E+01	5.46E+00	1.30E+02	3.90E+01	1.54E+00	1.78E+01
6.88E+05	6.88E-01	2.81E+01	5.52E+00	1.32E+02	3.85E+01	1.55E+00	1.93E+01
7.15E+05	7.15E-01	2.81E+01	5.60E+00	1.34E+02	3.81E+01	1.56E+00	2.05E+01
7.43E+05	7.43E-01	2.81E+01	5.66E+00	1.36E+02	3.77E+01	1.57E+00	2.16E+01
7.72E+05	7.72E-01	2.81E+01	5.77E+00	1.38E+02	3.72E+01	1.59E+00	2.29E+01
8.01E+05	8.01E-01	2.81E+01	5.86E+00	1.40E+02	3.68E+01	1.60E+00	2.42E+01
8.32E+05	8.32E-01	2.81E+01	5.97E+00	1.43E+02	3.64E+01	1.61E+00	2.58E+01
8.65E+05	8.65E-01	2.81E+01	6.08E+00	1.45E+02	3.60E+01	1.63E+00	2.66E+01
8.98E+05	8.98E-01	2.81E+01	6.19E+00	1.47E+02	3.56E+01	1.65E+00	2.78E+01
9.33E+05	9.33E-01	2.81E+01	6.34E+00	1.49E+02	3.52E+01	1.67E+00	2.91E+01
9.69E+05	9.69E-01	2.81E+01	6.48E+00	1.52E+02	3.47E+01	1.68E+00	3.04E+01
1.01E+06	1.01E+00	2.81E+01	6.61E+00	1.54E+02	3.43E+01	1.71E+00	3.13E+01
1.05E+06	1.05E+00	2.82E+01	6.78E+00	1.56E+02	3.39E+01	1.73E+00	3.32E+01
1.09E+06	1.09E+00	2.82E+01	6.93E+00	1.59E+02	3.35E+01	1.76E+00	3.43E+01
1.13E+06	1.13E+00	2.82E+01	7.09E+00	1.61E+02	3.31E+01	1.78E+00	3.53E+01
1.17E+06	1.17E+00	2.82E+01	7.26E+00	1.63E+02	3.27E+01	1.82E+00	3.67E+01
1.22E+06	1.22E+00	2.83E+01	7.46E+00	1.66E+02	3.23E+01	1.85E+00	3.80E+01
1.26E+06	1.26E+00	2.83E+01	7.66E+00	1.68E+02	3.18E+01	1.88E+00	3.92E+01
1.31E+06	1.31E+00	2.83E+01	7.86E+00	1.71E+02	3.14E+01	1.92E+00	4.05E+01
1.36E+06	1.36E+00	2.83E+01	8.08E+00	1.74E+02	3.10E+01	1.96E+00	4.18E+01
1.42E+06	1.42E+00	2.84E+01	8.30E+00	1.76E+02	3.05E+01	1.99E+00	4.30E+01
1.47E+06	1.47E+00	2.84E+01	8.53E+00	1.79E+02	3.01E+01	2.04E+00	4.40E+01
1.53E+06	1.53E+00	2.85E+01	8.77E+00	1.82E+02	2.96E+01	2.08E+00	4.51E+01
1.59E+06	1.59E+00	2.85E+01	9.05E+00	1.85E+02	2.91E+01	2.12E+00	4.66E+01
1.65E+06	1.65E+00	2.86E+01	9.34E+00	1.87E+02	2.86E+01	2.17E+00	4.76E+01
1.71E+06	1.71E+00	2.86E+01	9.59E+00	1.90E+02	2.82E+01	2.22E+00	4.88E+01
1.78E+06	1.78E+00	2.87E+01	9.86E+00	1.93E+02	2.77E+01	2.27E+00	5.00E+01
1.85E+06	1.85E+00	2.87E+01	1.01E+01	1.96E+02	2.72E+01	2.34E+00	5.10E+01
1.92E+06	1.92E+00	2.88E+01	1.05E+01	1.99E+02	2.66E+01	2.39E+00	5.21E+01
2.00E+06	2.00E+00	2.89E+01	1.08E+01	2.02E+02	2.61E+01	2.45E+00	5.34E+01
2.07E+06	2.07E+00	2.90E+01	1.11E+01	2.06E+02	2.55E+01	2.52E+00	5.43E+01
2.15E+06	2.15E+00	2.91E+01	1.15E+01	2.09E+02	2.49E+01	2.59E+00	5.53E+01
2.24E+06	2.24E+00	2.92E+01	1.18E+01	2.12E+02	2.43E+01	2.67E+00	5.63E+01
2.32E+06	2.32E+00	2.93E+01	1.22E+01	2.15E+02	2.37E+01	2.74E+00	5.73E+01
2.41E+06	2.41E+00	2.94E+01	1.25E+01	2.19E+02	2.31E+01	2.82E+00	5.83E+01
2.51E+06	2.51E+00	2.95E+01	1.29E+01	2.22E+02	2.24E+01	2.91E+00	5.94E+01
2.60E+06	2.60E+00	2.96E+01	1.33E+01	2.26E+02	2.17E+01	3.00E+00	6.03E+01
2.70E+06	2.70E+00	2.97E+01	1.37E+01	2.29E+02	2.10E+01	3.09E+00	6.11E+01
2.81E+06	2.81E+00	2.99E+01	1.40E+01	2.33E+02	2.03E+01	3.18E+00	6.19E+01
2.92E+06	2.92E+00	3.00E+01	1.44E+01	2.36E+02	1.95E+01	3.27E+00	6.29E+01
3.03E+06	3.03E+00	3.01E+01	1.49E+01	2.40E+02	1.87E+01	3.38E+00	6.38E+01
3.15E+06	3.15E+00	3.03E+01	1.53E+01	2.44E+02	1.78E+01	3.49E+00	6.46E+01
3.27E+06	3.27E+00	3.04E+01	1.57E+01	2.47E+02	1.69E+01	3.61E+00	6.53E+01
3.40E+06	3.40E+00	3.06E+01	1.62E+01	2.51E+02	1.60E+01	3.72E+00	6.61E+01
3.53E+06	3.53E+00	3.08E+01	1.67E+01	2.55E+02	1.50E+01	3.85E+00	6.68E+01
3.66E+06	3.66E+00	3.10E+01	1.72E+01	2.59E+02	1.40E+01	3.98E+00	6.76E+01
3.81E+06	3.81E+00	3.12E+01	1.78E+01	2.63E+02	1.29E+01	4.12E+00	6.83E+01
3.95E+06	3.95E+00	3.14E+01	1.83E+01	2.67E+02	1.18E+01	4.25E+00	6.90E+01
4.11E+06	4.11E+00	3.17E+01	1.88E+01	2.71E+02	1.06E+01	4.40E+00	6.96E+01
4.27E+06	4.27E+00	3.19E+01	1.94E+01	2.74E+02	9.40E+00	4.55E+00	7.02E+01
4.43E+06	4.43E+00	3.22E+01	1.99E+01	2.78E+02	8.10E+00	4.72E+00	7.10E+01
4.60E+06	4.60E+00	3.25E+01	2.05E+01	2.82E+02	6.75E+00	4.88E+00	7.15E+01
4.78E+06	4.78E+00	3.29E+01	2.11E+01	2.85E+02	5.29E+00	5.06E+00	7.21E+01
4.97E+06	4.97E+00	3.32E+01	2.17E+01	2.89E+02	3.82E+00	5.23E+00	7.27E+01
5.16E+06	5.16E+00	3.36E+01	2.22E+01	2.92E+02	2.31E+00	5.43E+00	7.31E+01
5.36E+06	5.36E+00	3.40E+01	2.28E+01	2.95E+02	6.52E-01	5.62E+00	7.37E+01
5.57E+06	5.57E+00	3.43E+01	2.34E+01	2.98E+02	-1.05E+00	5.83E+00	7.41E+01
5.78E+06	5.78E+00	3.47E+01	2.41E+01	3.00E+02	-2.80E+00	6.04E+00	7.46E+01
6.01E+06	6.01E+00	3.52E+01	2.48E+01	3.02E+02	-4.60E+00	6.27E+00	7.51E+01
6.24E+06	6.24E+00	3.57E+01	2.55E+01	3.04E+02	-6.50E+00	6.51E+00	7.55E+01
6.48E+06	6.48E+00	3.62E+01	2.64E+01	3.05E+02	-8.43E+00	6.74E+00	7.59E+01
6.73E+06	6.73E+00	3.68E+01	2.73E+01	3.06E+02	-1.04E+01	6.99E+00	7.63E+01
6.99E+06	6.99E+00	3.76E+01	2.82E+01	3.06E+02	-1.25E+01	7.26E+00	7.67E+01
7.26E+06	7.26E+00	3.86E+01	2.91E+01	3.06E+02	-1.46E+01	7.53E+00	7.70E+01
7.54E+06	7.54E+00	3.96E+01	2.99E+01	3.05E+02	-1.67E+01	7.81E+00	7.75E+01
7.84E+06	7.84E+00	4.08E+01	3.05E+01	3.04E+02	-1.89E+01	8.11E+00	7.78E+01
8.14E+06	8.14E+00	4.20E+01	3.11E+01	3.02E+02	-2.11E+01	8.41E+00	7.81E+01
8.46E+06	8.46E+00	4.33E+01	3.15E+01	2.99E+02	-2.33E+01	8.74E+00	7.84E+01
8.78E+06	8.78E+00	4.48E+01	3.19E+01	2.96E+02	-2.56E+01	9.07E+00	7.88E+01
9.12E+06	9.12E+00	4.63E+01	3.22E+01	2.92E+02	-2.78E+01	9.43E+00	7.90E+01
9.48E+06	9.48E+00	4.80E+01	3.24E+01	2.88E+02	-3.00E+01	9.79E+00	7.93E+01
9.84E+06	9.84E+00	4.97E+01	3.26E+01	2.83E+02	-3.22E+01	1.02E+01	7.96E+01
1.02E+07	1.02E+01	5.17E+01	3.26E+01	2.78E+02	-3.43E+01	1.06E+01	7.99E+01
1.06E+07	1.06E+01	5.38E+01	3.26E+01	2.72E+02	-3.64E+01	1.10E+01	8.01E+01
1.10E+07	1.10E+01	5.62E+01	3.24E+01	2.66E+02	-3.86E+01	1.14E+01	8.03E+01
1.15E+07	1.15E+01	5.89E+01	3.22E+01	2.59E+02	-4.06E+01	1.19E+01	8.06E+01
1.19E+07	1.19E+01	6.19E+01	3.17E+01	2.52E+02	-4.26E+01	1.24E+01	8.08E+01
1.24E+07	1.24E+01	6.52E+01	3.10E+01	2.45E+02	-4.45E+01	1.29E+01	8.10E+01
1.28E+07	1.28E+01	6.90E+01	3.00E+01	2.38E+02	-4.63E+01	1.34E+01	8.12E+01
1.33E+07	1.33E+01	7.31E+01	2.87E+01	2.31E+02	-4.81E+01	1.40E+01	8.14E+01
1.39E+07	1.39E+01	7.77E+01	2.70E+01	2.23E+02	-4.98E+01	1.45E+01	8.15E+01
1.44E+07	1.44E+01	8.29E+01	2.49E+01	2.16E+02	-5.14E+01	1.52E+01	8.16E+01
1.50E+07	1.50E+01	8.86E+01	2.23E+01	2.09E+02	-5.29E+01	1.58E+01	8.17E+01
1.55E+07	1.55E+01	9.50E+01	1.90E+01	2.02E+02	-5.44E+01	1.65E+01	8.18E+01
1.61E+07	1.61E+01	1.02E+02	1.47E+01	1.95E+02	-5.59E+01	1.72E+01	8.19E+01
1.68E+07	1.68E+01	1.09E+02	9.51E+00	1.87E+02	-5.73E+01	1.80E+01	8.20E+01
1.74E+07	1.74E+01	1.16E+02	3.08E+00	1.80E+02	-5.86E+01	1.88E+01	8.21E+01
1.81E+07	1.81E+01	1.21E+02	-4.61E+00	1.73E+02	-5.98E+01	1.96E+01	8.22E+01
1.88E+07	1.88E+01	1.24E+02	-1.35E+01	1.67E+02	-6.10E+01	2.06E+01	8.22E+01
1.95E+07	1.95E+01	1.23E+02	-2.31E+01	1.60E+02	-6.21E+01	2.16E+01	8.22E+01
2.03E+07	2.03E+01	1.17E+02	-3.29E+01	1.54E+02	-6.31E+01	2.27E+01	8.21E+01
2.11E+07	2.11E+01	1.07E+02	-4.21E+01	1.48E+02	-6.41E+01	2.39E+01	8.19E+01
2.19E+07	2.19E+01	9.56E+01	-5.01E+01	1.42E+02	-6.50E+01	2.53E+01	8.16E+01
2.27E+07	2.27E+01	8.32E+01	-5.66E+01	1.36E+02	-6.59E+01	2.68E+01	8.11E+01
2.36E+07	2.36E+01	7.15E+01	-6.15E+01	1.30E+02	-6.66E+01	2.85E+01	8.04E+01
2.45E+07	2.45E+01	6.10E+01	-6.48E+01	1.25E+02	-6.74E+01	3.06E+01	7.90E+01
2.55E+07	2.55E+01	5.20E+01	-6.69E+01	1.20E+02	-6.81E+01	3.33E+01	7.59E+01
2.64E+07	2.64E+01	4.43E+01	-6.78E+01	1.15E+02	-6.88E+01	3.56E+01	6.78E+01
2.75E+07	2.75E+01	3.77E+01	-6.77E+01	1.10E+02	-6.94E+01	2.92E+01	5.82E+01
2.85E+07	2.85E+01	3.20E+01	-6.64E+01	1.05E+02	-7.00E+01	2.58E+01	7.18E+01
2.96E+07	2.96E+01	2.72E+01	-6.38E+01	1.00E+02	-7.04E+01	2.90E+01	7.84E+01
3.08E+07	3.08E+01	2.32E+01	-6.01E+01	9.58E+01	-7.08E+01	3.22E+01	8.02E+01
3.20E+07	3.20E+01	1.99E+01	-5.49E+01	9.15E+01	-7.12E+01	3.51E+01	8.05E+01
3.32E+07	3.32E+01	1.71E+01	-4.81E+01	8.73E+01	-7.16E+01	3.81E+01	8.03E+01
3.45E+07	3.45E+01	1.50E+01	-3.96E+01	8.33E+01	-7.19E+01	4.11E+01	7.98E+01
3.58E+07	3.58E+01	1.36E+01	-2.93E+01	7.95E+01	-7.23E+01	4.42E+01	7.90E+01
3.72E+07	3.72E+01	1.27E+01	-1.82E+01	7.58E+01	-7.26E+01	4.76E+01	7.80E+01
3.87E+07	3.87E+01	1.24E+01	-5.95E+00	7.21E+01	-7.29E+01	5.13E+01	7.68E+01
4.02E+07	4.02E+01	1.27E+01	6.12E+00	6.85E+01	-7.29E+01	5.55E+01	7.52E+01
4.17E+07	4.17E+01	1.36E+01	1.66E+01	6.52E+01	-7.31E+01	6.02E+01	7.33E+01
4.33E+07	4.33E+01	1.50E+01	2.54E+01	6.19E+01	-7.31E+01	6.55E+01	7.08E+01
4.50E+07	4.50E+01	1.67E+01	3.25E+01	5.88E+01	-7.31E+01	7.13E+01	6.74E+01
4.68E+07	4.68E+01	1.87E+01	3.82E+01	5.58E+01	-7.31E+01	7.74E+01	6.29E+01
4.86E+07	4.86E+01	2.11E+01	4.25E+01	5.32E+01	-7.33E+01	8.31E+01	5.72E+01
5.05E+07	5.05E+01	2.37E+01	4.60E+01	5.00E+01	-7.37E+01	8.67E+01	5.04E+01
5.24E+07	5.24E+01	2.66E+01	4.86E+01	4.70E+01	-7.35E+01	8.73E+01	4.32E+01
5.44E+07	5.44E+01	2.99E+01	5.05E+01	4.40E+01	-7.34E+01	8.44E+01	3.71E+01
5.65E+07	5.65E+01	3.38E+01	5.18E+01	4.13E+01	-7.32E+01	8.00E+01	3.31E+01
5.87E+07	5.87E+01	3.84E+01	5.21E+01	3.87E+01	-7.30E+01	7.62E+01	3.10E+01
6.10E+07	6.10E+01	4.34E+01	5.12E+01	3.60E+01	-7.28E+01	7.29E+01	3.08E+01
6.34E+07	6.34E+01	4.93E+01	4.96E+01	3.34E+01	-7.24E+01	7.23E+01	3.18E+01
6.58E+07	6.58E+01	5.61E+01	4.67E+01	3.08E+01	-7.20E+01	7.39E+01	3.26E+01
6.84E+07	6.84E+01	6.36E+01	4.24E+01	2.83E+01	-7.13E+01	7.73E+01	3.30E+01
7.10E+07	7.10E+01	7.18E+01	3.63E+01	2.59E+01	-7.05E+01	8.23E+01	3.26E+01
7.38E+07	7.38E+01	7.98E+01	2.78E+01	2.34E+01	-6.95E+01	8.88E+01	3.17E+01
7.66E+07	7.66E+01	8.51E+01	1.72E+01	2.10E+01	-6.80E+01	9.86E+01	3.42E+01
7.96E+07	7.96E+01	8.59E+01	5.18E+00	1.87E+01	-6.63E+01	1.62E+02	2.82E+01
8.27E+07	8.27E+01	8.09E+01	-6.72E+00	1.64E+01	-6.42E+01	1.64E+02	-9.56E+00
8.59E+07	8.59E+01	7.21E+01	-1.70E+01	1.42E+01	-6.10E+01	1.26E+02	-2.81E+01
8.92E+07	8.92E+01	6.13E+01	-2.54E+01	1.20E+01	-5.64E+01	9.79E+01	-3.85E+01
9.27E+07	9.27E+01	5.07E+01	-2.95E+01	9.96E+00	-4.98E+01	7.60E+01	-4.51E+01
9.63E+07	9.63E+01	4.22E+01	-3.12E+01	8.15E+00	-3.94E+01	5.97E+01	-4.87E+01
1.00E+08	1.00E+02	3.55E+01	-3.09E+01	6.81E+00	-2.32E+01	4.69E+01	-4.99E+01
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
